title,creator,agerecommendation,active,favorites,visits,created,updated,serversize,likes,dislikes,gamelink,datefetched,like_ratio,player_to_visit_ratio,genre_action,genre_adventure,genre_education,genre_entertainment,genre_obby_&_platformer,genre_party_&_casual,genre_puzzle,genre_rpg,genre_roleplay_&_avatar_sim,genre_shooter,genre_shopping,genre_simulation,genre_social,genre_sports_&_racing,genre_strategy,genre_survival,camera_not_supported,camera_supported,vc_not_supported,vc_supported
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,8591,3102097,2000000000.0,3/27/2018,11/5/2024,15,1000000.0,101000.0,https://www.roblox.com/games/1554960397/ZENVO-Car-Dealership-Tycoon?gameSearchSessionInfo=448fb364-cb94-4e68-aaaf-9f14e4b6adcd&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=1554960397&amp;position=0&amp;universeId=605887098,11/5/2024 20:29,0.9082652134423251,4.2955e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
 [ DIVA + 15] TOD 🎃,OofMayy Studios,All Ages,2373,230494,151700000.0,1/25/2023,11/4/2024,30,73000.0,6868.0,https://www.roblox.com/games/12262046571/DIVA-15-TOD?gameSearchSessionInfo=2297c6a3-cbd4-498d-b2c2-e6d62ba5bfb5&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12262046571&amp;position=0&amp;universeId=4319996251,11/5/2024 20:29,0.9140081133870886,1.5642715886618327e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Arsenal,ROLVe,Ages 9+,3834,11174747,5600000000.0,8/18/2015,11/5/2024,16,4000000.0,623000.0,https://www.roblox.com/games/286090429/Arsenal?gameSearchSessionInfo=876208d3-d0c6-4074-9c32-008c78652f93&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=286090429&amp;position=0&amp;universeId=111958650,11/5/2024 20:29,0.8652390222799048,6.846428571428571e-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
💪Muscle Legends,Scriptbloxian Studios,Ages 9+,6570,2353665,1800000000.0,8/9/2019,7/12/2024,20,903000.0,131000.0,https://www.roblox.com/games/3623096087/Muscle-Legends?gameSearchSessionInfo=2d77adc1-e684-44ee-b9e4-5096d609eef6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3623096087&amp;position=0&amp;universeId=1268927906,11/5/2024 20:29,0.8733075435203095,3.65e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Banana Eats 🎃,@RyCitrus,Ages 9+,1458,1792676,692500000.0,11/23/2019,11/2/2024,10,428000.0,56000.0,https://www.roblox.com/games/4448566543/Banana-Eats?gameSearchSessionInfo=72510e2d-df51-4f65-bdf0-8947e6e36825&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4448566543&amp;position=0&amp;universeId=1415710834,11/5/2024 20:29,0.8842975206611571,2.1054151624548736e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Ez Obby But You Get Kicked If You Die!,@Zaviuz,All Ages,5,38899,31700000.0,1/16/2022,7/14/2024,30,16000.0,17000.0,https://www.roblox.com/games/8552239983/Ez-Obby-But-You-Get-Kicked-If-You-Die?gameSearchSessionInfo=72021a18-c38f-4017-a3b1-90e3e904c9f5&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8552239983&amp;position=0&amp;universeId=3261662774,11/5/2024 20:30,0.48484848484848486,1.5772870662460568e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Berry Avenue 🏠 RP,Amberry Games,All Ages,23566,2324145,4500000000.0,1/8/2022,11/3/2024,30,688000.0,100000.0,https://www.roblox.com/games/8481844229/Berry-Avenue-RP?gameSearchSessionInfo=30c4ed16-c8e1-4636-91c8-8d89f67428e3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8481844229&amp;position=0&amp;universeId=3240075297,11/5/2024 20:30,0.8730964467005076,5.236888888888889e-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
🤖 Robot Inc.,Ninja Dolphin Games,Ages 9+,48,235349,34100000.0,9/19/2019,10/19/2023,8,43000.0,11000.0,https://www.roblox.com/games/3925890721/Robot-Inc?gameSearchSessionInfo=566bdbb4-e17a-4b20-806a-e8102b2dae80&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3925890721&amp;position=0&amp;universeId=1330216861,11/5/2024 20:30,0.7962962962962963,1.4076246334310851e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Bloxy Bingo,Bloxy Bingo,All Ages,1267,977164,302400000.0,6/28/2020,11/3/2024,80,247000.0,47000.0,https://www.roblox.com/games/5244411056/Bloxy-Bingo?gameSearchSessionInfo=212209bf-46f8-4da1-9250-3a6d29d0f24a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5244411056&amp;position=0&amp;universeId=1836146838,11/5/2024 20:30,0.8401360544217688,4.189814814814815e-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
🌊Tsunami Disaster Survival🌊,Playtad,All Ages,1205,158848,265000000.0,2/17/2022,6/29/2024,40,26000.0,15000.0,https://www.roblox.com/games/8846144215/Tsunami-Disaster-Survival?gameSearchSessionInfo=c25cb3bf-f65d-4963-a989-439deb7a045a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8846144215&amp;position=0&amp;universeId=3348878202,11/5/2024 20:30,0.6341463414634146,4.5471698113207546e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
